0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['F', 'IH', 'N', 'Z']","['HH', 'IH', 'T', 'S']","['Y', 'AO', 'R', 'S']","['W', 'EH', 'L']","['B', 'EH', 'R']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['K', 'R', 'EY', 'N']","['D', 'AO', 'G', 'IY', 'Z']","['HH', 'EH', 'N', 'Z']","['K', 'L', 'OW', 'DH', 'Z']","['Y', 'UW', 'D']","['K', 'UH', 'K', 'IH', 'NG']","['S', 'W', 'IH', 'M', 'Z']","['G', 'EH', 'T']","['W', 'EY', 'K', 'S']","['Y', 'UW', 'S']","['M', 'AE', 'K', 'S']","['K', 'EY', 'T', 'IY']","['S', 'AY', 'N', 'Z']","['P', 'UH', 'SH', 'IH', 'NG']","['W', 'IY', 'K']","['K', 'AE', 'M']","['L', 'ER', 'N', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['D', 'IY', 'L']","['L', 'AE', 'D']","['AH', 'S']","['K', 'AE', 'T', 'S']","['R', 'AY', 'D', 'ER']","['P', 'AH', 'P']","['DH', 'EH', 'R']","['S', 'N', 'OW', 'D']","['S', 'IH', 'N', 'S']","['F', 'EY', 'T']","['F', 'R', 'AW', 'N']","['D', 'EH', 'M', 'IY']","['S', 'AA', 'K', 'S']","['K', 'AH', 'L', 'ER', 'IH', 'NG']","['L', 'AY', 'K', 'L', 'IY']","['K', 'R', 'AE', 'K', 'S']","['M', 'IY', 'N']","['T', 'IH', 'K']","['B', 'R', 'AH', 'M']","['S', 'T', 'AH', 'F']","['D', 'R', 'AY', 'V', 'ER']","['K', 'R', 'IY', 'K']","['R', 'IH', 'B', 'AH', 'N', 'Z']","['P', 'L', 'EY', 'S']","['S', 'T', 'UW']","['D', 'UW', 'D', 'UW']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['D', 'R', 'AY', 'Z']","['G', 'R', 'IH', 'L']","['S', 'UW', 'P', 'S']","['S', 'P', 'AO', 'R', 'T', 'S']","['S', 'T', 'IH', 'R']","['JH', 'AA', 'L', 'IY', 'Z']","['T', 'EH', 'R', 'IH', 'NG']","['K', 'R', 'IY', 'M', 'IY']","['T', 'R', 'IH', 'P', 'IH', 'NG']","['AW', 'L', 'Z']","['M', 'ER', 'F', 'IY']","['R', 'OW', 'L', 'OW']","['T', 'AH', 'N', 'AH', 'L', 'S']","['P', 'AH', 'F', 'IH', 'N']","['HH', 'AA', 'NG', 'K']","['S', 'N', 'AA', 'T', 'IY']","['S', 'IH', 'L']","['F', 'AA', 'L', 'AH', 'N']","['R', 'UW', 'S', 'T']","['D', 'R', 'IH', 'P', 'S']","['V', 'IH', 'L', 'AH']","['K', 'AH', 'L', 'ER', 'Z']","['S', 'AH', 'K', 'IH', 'NG']","['R', 'IH', 'NG', 'Z']","['F', 'AY', 'N', 'D', 'Z']","['K', 'UH', 'SH', 'AH', 'N']","['JH', 'EH', 'T']","['S', 'M', 'AY', 'L']","['R', 'AH', 'L', 'IY', 'F']","['T', 'R', 'EY', 'Z']","['B', 'EY', 'B', 'IY', 'Z']","['R', 'UW', 'S', 'T', 'ER']","['T', 'AA', 'T', 'IY']","['M', 'UW', 'S']",,,,,,,,,,,,,,,,,,,,,,,,
"['S', 'N', 'OW']","['N', 'OW', 'Z', 'D']","['W', 'AA', 'SH', 'ER', 'Z']","['P', 'AH', 'D', 'AH', 'L']","['G', 'UH', 'D']","['S', 'L', 'OW', 'ER']","['F', 'AA', 'R', 'M', 'Z']","['P', 'L', 'AH', 'S']","['AH', 'T', 'AE', 'K']","['HH', 'UW', 'V']","['S', 'IY', 'L']","['S', 'AH', 'M', 'TH', 'IH', 'NG']","['HH', 'OW', 'L']","['F', 'AE', 'G']","['N', 'IY', 'L']","['N', 'AE', 'N', 'AH']","['M', 'EY', 'L']","['B', 'IY', 'T', 'IH', 'NG']","['EH', 'L']","['F', 'EH', 'R', 'L', 'IY']","['B', 'AH', 'G', 'IY', 'Z']","['CH', 'IH', 'R', 'Z']","['R', 'AE', 'K', 'AH', 'T']","['F', 'IY', 'D', 'ER', 'Z']","['W', 'EH', 'B', 'D']","['R', 'AO', 'S']","['S', 'T', 'R', 'AO', 'B', 'EH', 'R', 'IY', 'Z']","['W', 'IY', 'W', 'IY']","['T', 'R', 'AY', 'T', 'R', 'AY']","['M', 'AY', 'M', 'AY']","['F', 'L', 'AE', 'SH']","['M', 'IH', 'S', 'AH', 'Z']","['K', 'AA', 'M', 'AH']","['G', 'AE', 'L', 'AH', 'P', 'IH', 'NG']","['D', 'AY', 'AH', 'L']",,,,,,,,,,,,,,,,,,,,,,,
"['B', 'OW', 'T', 'S']","['AH', 'N', 'T', 'AY', 'D', 'IY']","['AH', 'L', 'AE', 'D', 'AH', 'N']","['P', 'EY', 'D']","['L', 'AE', 'S', 'T', 'IH', 'NG']","['R', 'AH', 'L', 'AY', 'Z']","['Y', 'UW', 'V']","['K', 'AH', 'V', 'ER', 'D']","['D', 'IY', 'S', 'AH', 'L']","['T', 'R', 'AH', 'B', 'AH', 'L', 'Z']","['T', 'R', 'AA', 'T']","['AE', 'K', 'S', 'AH', 'L', 'S']","['L', 'IY', 'V', 'Z']","['S', 'T', 'EY', 'B', 'AH', 'L']","['B', 'IH', 'L', 'D', 'IH', 'NG', 'Z']","['IH', 'T', 'AH', 'L']","['P', 'ER', 'IH', 'NG']","['B', 'AE', 'T', 'ER', 'D']","['P', 'AE', 'K']","['W', 'IH', 'G', 'AH', 'L']","['N', 'OW', 'M', 'Z']","['W', 'AY', 'D']","['L', 'AY', 'V']","['M', 'OW', 'L', 'D']","['B', 'ER', 'P']","['HH', 'EH', 'R', 'IY', 'Z']","['N', 'AE', 'K']","['S', 'P', 'EH', 'K', 'AH', 'L', 'D']","['D', 'EH', 'F', 'AH', 'N']","['B', 'ER', 'N', 'Z']","['F', 'L', 'ER', 'T', 'IH', 'NG']","['P', 'R', 'IH', 'K', 'L', 'IY']","['W', 'AA']","['IY', 'Z', 'IY']","['AY', 'D']","['K', 'IY']","['L', 'AH', 'K', 'IY', 'Z']","['S', 'AO', 'D']",,,,,,,,,,,,,,,,,,,,
"['K', 'UH', 'D', 'AH', 'N', 'T']","['JH', 'IY', 'N', 'IY']","['HH', 'AW', 'Z']","['R', 'IH', 'NG', 'K', 'AH', 'L', 'IH', 'NG']","['P', 'AE', 'N', 'T', 'IY']","['F', 'ER', 'M']","['B', 'UW', 'M']","['TH', 'AW', 'Z', 'AH', 'N', 'D', 'Z']","['HH', 'AY', 'D']","['HH', 'AA', 'P', 'IH', 'NG']","['P', 'AO', 'R', 'K']","['S', 'L', 'OW', 'P', 'IH', 'NG']","['M', 'AH', 'K']","['K', 'AA', 'M']","['AE', 'T']","['B', 'AE', 'T', 'ER', 'IY']","['S', 'N', 'IY', 'Z']","['UW', 'UW']","['D', 'AY', 'D']","['S', 'K', 'R', 'IH', 'B', 'AH', 'L']","['D', 'R', 'IH', 'V', 'AH', 'N']","['B', 'OW', 'B', 'OW']","['D', 'IH', 'S', 'P', 'EH', 'N', 'S']","['S', 'T', 'R', 'EY', 'N']","['P', 'L', 'AA']","['M', 'IH', 'S', 'AH', 'L']","['S', 'AH', 'NG']","['F', 'EY', 'S']","['P', 'IY', 'G', 'R', 'IY', 'N']","['AO', 'F', 'AO', 'F']","['B', 'AH', 'L', 'AO', 'NG']","['AH', 'F', 'EH', 'K', 'T', 'S']","['K', 'R', 'OW']","['W', 'IH', 'N', 'D', 'IY']","['T', 'R', 'AO', 'F']","['L', 'EY', 'T', 'ER']","['W', 'EH', 'R', 'AA', 'R']","['R', 'AY', 'Z', 'ER']","['SH', 'IY', 'K']","['IH', 'N', 'T', 'EH', 'N', 'D']","['L', 'IH', 'V', 'ER', 'IY']","['S', 'T', 'EY', 'T']","['M', 'OW', 'B', 'AH', 'L', 'S']","['P', 'OW', 'K', 'S']","['F', 'IH', 'L', 'D']","['AE', 'R', 'OW', 'Z']","['T', 'IH', 'L', 'IY']","['TH', 'R', 'EH', 'D']","['K', 'IH', 'S', 'K', 'IH', 'S']","['D', 'R', 'EH', 'D']","['K', 'AY', 'N', 'D', 'ER']",,,,,,,
"['F', 'AH', 'S']","['S', 'L', 'EY', 'T']","['T', 'EY', 'P', 'S']","['S', 'AY', 'K', 'AH', 'L', 'IH', 'NG']","['T', 'AO', 'T']","['K', 'AH', 'T', 'S']","['B', 'AE', 'G', 'IY']","['T', 'IH', 'B', 'IY']","['S', 'ER', 'F']","['R', 'UW', 'L', 'Z']","['S', 'AY', 'Z']","['G', 'EH', 'S', 'T']","['HH', 'AE', 'T']","['Z', 'UW', 'L']","['B', 'EH', 'N', 'IY', 'Z']","['B', 'R', 'AA', 'K', 'AH', 'L', 'IY', 'Z']","['S', 'T', 'AA', 'P', 'T']","['T', 'IH', 'P', 'ER']","['T', 'EY', 'P', 'IH', 'NG']","['D', 'R', 'IH', 'NG', 'K']","['JH', 'ER', 'N', 'IY']","['CH', 'OW', 'Z']","['T', 'R', 'AA', 'L', 'IY']","['S', 'K', 'IY']","['HH', 'IH', 'CH']","['N', 'AO', 'T', 'IY']","['R', 'AO', 'R']","['D', 'AH', 'L', 'EY']","['JH', 'EY', 'B', 'ER', 'D']","['B', 'EY', 'L', 'Z']","['B', 'AO', 'R', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,
"['SH', 'EH', 'L', 'IY']","['R', 'AH', 'P', 'EH', 'R', 'D']","['CH', 'AH', 'M']","['T', 'EH', 'D', 'AH', 'L']","['T', 'AY', 'L', 'Z']","['B', 'AA', 'T', 'AH', 'L']","['W', 'AH', 'N', 'AH', 'L']","['T', 'EH', 'R', 'ER']","['B', 'R', 'EH', 'TH']","['S', 'AH', 'P', 'ER']","['T', 'AO', 'L', 'S']","['L', 'AO', 'G', 'Z']","['K', 'AE', 'N', 'S', 'AH', 'L']","['T', 'R', 'AE', 'V', 'AH', 'L']","['T', 'AY', 'T', 'AH', 'N', 'D']","['T', 'EY', 'B', 'AH', 'L', 'S']","['HH', 'IY', 'D']","['AE', 'L', 'AH', 'S', 'T', 'EH', 'R']","['G', 'L', 'UW', 'D']","['S', 'T', 'AH', 'F', 'IH', 'NG']","['UW', 'P', 'S']","['B', 'AE', 'D']","['S', 'K', 'W', 'IY', 'K']","['TH', 'IH', 'N', 'ER']","['K', 'AA', 'M', 'AH']","['L', 'UW']","['T', 'EY', 'M', 'ER']","['M', 'EH', 'R', 'IY', 'D']","['N', 'AH', 'TH', 'IH', 'NG', 'Z']","['P', 'L', 'EY', 'S', 'AH', 'Z']","['G', 'ER', 'L', 'S']","['S', 'W', 'IH', 'L']","['B', 'AO', 'B', 'AH', 'L', 'Z']","['D', 'R', 'EH', 'S', 'IH', 'NG']","['M', 'IH', 'Z', 'ER', 'IY']","['B', 'EH', 'S', 'T']","['T', 'R', 'EY', 'D', 'ER', 'Z']","['T', 'EH', 'S', 'T', 'S']","['SH', 'EY', 'D']","['D', 'EH', 'R', 'IY']","['S', 'P', 'AY']",,,,,,,,,,,,,,,,,
"['S', 'L', 'OW', 'P', 'IH', 'NG']","['S', 'M', 'AE', 'SH']","['B', 'AH', 'T', 'IH', 'NG']","['R', 'OW', 'Z', 'IY']","['EY', 'Z']","['P', 'AH', 'L', 'IY', 'S']","['W', 'EY', 'L', 'S']","['B', 'UH', 'Z', 'AH', 'M']","['B', 'AA', 'N', 'AH', 'T']","['G', 'IY', 'S']","['L', 'OW', 'N', 'D']","['P', 'IY', 'P', 'AH', 'L']","['B', 'AH', 'T', 'S']","['L', 'IH', 'P', 'S']","['S', 'IH', 'T', 'IH', 'NG']","['T', 'AO', 'K', 'T']","['S', 'L', 'IY', 'V', 'Z']","['W', 'AA', 'L', 'OW', 'IH', 'NG']","['P', 'AE', 'D', 'IH', 'NG']","['K', 'IH', 'D', 'Z']","['F', 'IH', 'R', 'S']","['T', 'AH', 'D', 'EY']","['M', 'OW', 'Z', 'AH', 'S']","['W', 'UW']","['S', 'OW', 'L', 'D']","['S', 'T', 'UW', 'P', 'AH', 'D']","['S', 'P', 'ER', 'Z']","['D', 'IH', 'S', 'K', 'AH', 'S']","['B', 'AY', 'T', 'S']","['P', 'EY', 'JH', 'IH', 'NG']","['K', 'AH', 'P']","['K', 'IH', 'D']","['R', 'AH', 'B', 'Z']","['S', 'N', 'EY', 'K']","['P', 'L', 'EY', 'N', 'Z']","['HH', 'AE', 'M']","['B', 'IY', 'K']","['S', 'K', 'W', 'IY', 'L', 'IH', 'NG']","['K', 'R', 'AY', 'D']","['S', 'T', 'AA', 'P']","['F', 'IY', 'L', 'D', 'S']","['L', 'IY', 'D', 'IH', 'NG']","['M', 'EH', 'L', 'AH', 'D', 'IY']","['W', 'EH', 'L']","['P', 'IH', 'NG', 'K', 'S']","['F', 'AW', 'L']","['B', 'R', 'AE', 'S']","['M', 'AO', 'R']","['B', 'AE', 'N', 'D']","['K', 'L', 'IY', 'N', 'D']","['TH', 'AE', 'NG', 'K', 'IH', 'NG']","['D', 'AW', 'N', 'D']","['P', 'R', 'EH', 'S', 'T']","['EH', 'R', 'AH', 'N']","['S', 'P', 'AA', 'T', 'S']","['W', 'IY', 'L', 'Z']","['P', 'AH', 'F']","['T', 'IH', 'P', 'ER']"
"['T', 'EY', 'S', 'T', 'IH', 'NG']","['S', 'T', 'UW']","['B', 'AE', 'L', 'AH', 'N', 'S']","['AW', 'L', 'Z']","['W', 'AA', 'SH', 'ER']","['F', 'AA', 'L']","['S', 'EH', 'K', 'AH', 'N', 'D']","['W', 'ER', 'D']","['SH', 'AA', 'P', 'IH', 'NG', 'S']","['HH', 'AE', 'N', 'AH']","['M', 'IY', 'M', 'IY']","['G', 'AA', 'CH', 'AH']","['W', 'AH', 'T', 'ER']","['P', 'R', 'EY']","['P', 'IH', 'K', 'N', 'IH', 'K', 'S']","['SH', 'EH', 'L', 'IY']","['S', 'M', 'AO', 'L']","['M', 'AH', 'K']","['N', 'ER', 'V', 'Z']","['T', 'EY', 'S', 'T']","['HH', 'IH', 'D']","['M', 'AH', 'DH', 'ER', 'Z']","['HH', 'AY', 'D', 'IY', 'Z']","['B', 'EY', 'K', 'S']","['R', 'UW', 'T']","['SH', 'AW', 'T']","['B', 'AW', 'N', 'S', 'T']","['N', 'OW', 'Z']","['K', 'AA', 'R']","['L', 'AY', 'ER']","['T', 'IY', 'TH', 'S']","['B', 'AE', 'T', 'ER', 'IH', 'NG']","['T', 'EH', 'N', 'D', 'Z']","['P', 'AE', 'K', 'IH', 'NG']","['S', 'OW', 'L', 'D']","['AH', 'M', 'AW', 'N', 'T']","['P', 'EY', 'T', 'UW']","['S', 'ER']","['CH', 'UW', 'CH', 'UW', 'CH', 'UW']","['D', 'AH', 'K', 'IH', 'NG']","['K', 'IH', 'D']","['N', 'IY', 'Z']",,,,,,,,,,,,,,,,
