0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
"['S', 'ER', 'CH']","['M', 'IH', 'K', 'S', 'T']","['Y', 'EH', 'S']","['K', 'AA', 'M', 'AH', 'T']","['R', 'IH', 'B', 'AH', 'N']","['ER', 'N', 'IH', 'NG']","['D', 'AH', 'G']","['S', 'W', 'AH', 'M']","['HH', 'AY', 'D', 'IH', 'NG']","['K', 'AH', 'P', 'AH', 'L', 'D']","['D', 'AH', 'Z']","['CH', 'AA', 'M', 'P', 'IH', 'NG']","['HH', 'UH', 'K', 'IH', 'NG']","['K', 'L', 'OW', 'Z', 'AH', 'Z']","['AH', 'JH', 'AH', 'S', 'T']","['S', 'K', 'R', 'UW']","['B', 'AW', 'N', 'D']","['S', 'EH', 'T', 'AH', 'L']","['T', 'UW', 'L']","['S', 'IH', 'T']","['IH', 'N', 'S', 'T', 'EH', 'D']","['R', 'UW', 'B', 'AA', 'R', 'B']","['L', 'AO', 'N', 'M', 'OW', 'ER', 'Z']","['M', 'AE', 'S', 'K', 'S']","['N', 'IH', 'R', 'L', 'IY']","['K', 'AH', 'S', 'T', 'ER', 'D']","['R', 'AA', 'B', 'ER', 'Z']","['HH', 'UW', 'Z']","['G', 'AA', 'T', 'AH']","['L', 'AY', 'T']","['P', 'EH', 'R', 'AH', 'T']","['D', 'AA', 'L', 'IY']","['D', 'AH', 'B', 'L', 'IY']","['R', 'OW', 'T', 'ER']","['L', 'IH', 'T', 'ER', 'AH', 'L']","['B', 'AH', 'K', 'AH', 'L']","['S', 'K', 'IY', 'Z']","['F', 'AE', 'S', 'AH', 'N']","['B', 'OW', 'N', 'S']","['W', 'AA', 'P', 'ER']","['F', 'IH', 'SH', 'AH', 'Z']","['SH', 'AH', 'V', 'AH', 'L', 'D']","['R', 'EH', 'P', 'T', 'AY', 'L']","['N', 'EY', 'M', 'Z']","['HH', 'EH', 'L', 'P']",,,,,,,,,,,,,
"['S', 'L', 'IH', 'M']","['D', 'R', 'AY', 'V', 'AH', 'N']","['T', 'R', 'EH', 'K']","['AH', 'S', 'K', 'EY', 'P']","['T', 'OW', 'T', 'AH', 'L', 'IY']","['M', 'IH', 'K', 'S']","['T', 'EY', 'K', 'AH', 'N']","['D', 'UW', 'P', 'L', 'OW']","['G', 'UW', 'F', 'IY']","['K', 'AE', 'B', 'IY']","['S', 'UW', 'N']","['S', 'W', 'AH', 'M']","['S', 'AE', 'N', 'D', 'IH', 'NG']","['D', 'AA', 'L', 'IY', 'Z']","['N', 'AY', 'S']","['M', 'EH', 'R', 'AH', 'L', 'IY']","['S', 'P', 'AA', 'T', 'IH', 'NG']","['S', 'IH', 'K', 'AH', 'L']","['D', 'AH', 'P', 'EH', 'N', 'D', 'IH', 'NG']","['T', 'IY', 'CH', 'ER', 'Z']","['K', 'R', 'EY', 'T']","['W', 'AA', 'SH', 'ER', 'Z']","['HH', 'AH', 'G']","['HH', 'AE', 'M', 'P', 'ER']","['L', 'IH', 'T', 'ER', 'AH', 'L']","['P', 'R', 'AH', 'F', 'ER', 'Z']","['CH', 'UW', 'CH', 'UW']","['S', 'AY', 'Z', 'D']","['G', 'R', 'OW', 'Z']","['EH', 'N', 'R', 'OW', 'L']","['N', 'EH', 'K', 'S', 'T']","['S', 'W', 'AA', 'M', 'P']","['B', 'IH', 'T', 'B', 'IH', 'T']","['W', 'EY', 'T', 'IH', 'NG']","['P', 'AA', 'R', 'T', 'IY', 'Z']","['F', 'AH', 'N', 'AH', 'L', 'S']","['N', 'OY', 'Z', 'AH', 'Z']","['G', 'R', 'OW', 'S']","['B', 'OY']","['S', 'ER', 'IH', 'N', 'JH']","['HH', 'IH', 'T', 'IH', 'NG']","['D', 'AA', 'L', 'IY']","['K', 'L', 'AY', 'V', 'S']","['K', 'ER', 'T', 'AH', 'N', 'S']","['P', 'ER']","['R', 'IY', 'JH', 'AH', 'N', 'Z']","['S', 'EH', 'V', 'AH', 'N']","['P', 'EH', 'G', 'Z']","['AY', 'T', 'AH', 'M', 'Z']",,,,,,,,,
"['B', 'IY', 'IH', 'NG']","['T', 'EH', 'N', 'D', 'ER']","['IH', 'N', 'JH', 'ER']","['T', 'AH', 'N', 'AY', 'T']","['L', 'EH', 'T', 'ER', 'Z']","['M', 'AA', 'D', 'ER', 'N']","['K', 'IH', 'S', 'AH', 'L']","['K', 'L', 'AH', 'M', 'P', 'IY']","['SH', 'EY', 'K', 'IH', 'NG']","['SH', 'UH', 'K']","['S', 'ER', 'V', 'AH', 'S']","['D', 'AH', 'M', 'P', 'T']","['HH', 'UH', 'K', 'S']","['M', 'EH', 'R', 'IY', 'L']","['N', 'IH', 'T', 'S']","['IH', 'N', 'D', 'IY', 'AH']","['S', 'W', 'EH', 'T']","['S', 'T', 'EY']","['S', 'T', 'AH', 'F']","['F', 'EY', 'T']","['F', 'AE', 'M', 'AH', 'L', 'IY']","['D', 'AW', 'N', 'D', 'AW', 'N', 'D', 'AW', 'N']","['B', 'AH', 'N', 'IY', 'L']","['HH', 'AA', 'B', 'IY']","['S', 'T', 'AE', 'K']","['P', 'L', 'AH', 'M', 'Z']","['SH', 'AH', 'V', 'IH', 'NG']","['R', 'AY', 'T', 'IH', 'NG']","['HH', 'AO']","['L', 'AO', 'N', 'CH']","['F', 'AO', 'T']","['S', 'P', 'ER', 'Z']","['S', 'P', 'R', 'IH', 'NG', 'Z']","['M', 'EH', 'N', 'S']","['K', 'EY', 'M']","['N', 'UW', 'K', 'IY']","['S', 'AE', 'N', 'D', 'IY']","['K', 'UH', 'K', 'T']","['IY', 'T']","['M', 'AA', 'R', 'SH', 'AH', 'L']","['F', 'IH', 'SH', 'AH', 'L']","['G', 'R', 'OW']","['SH', 'AA', 'K', 'IH', 'NG']","['P', 'IY', 'T', 'S']","['F', 'AO', 'R']","['R', 'AH', 'P', 'EH', 'R', 'D']","['B', 'R', 'IH', 'K', 'S']",,,,,,,,,,,
"['K', 'L', 'AY', 'V']","['D', 'R', 'AY', 'V', 'AE', 'N']","['P', 'L', 'AH', 'G', 'Z']","['D', 'AH', 'NG', 'K', 'ER']","['W', 'AH', 'T', 'ER']","['AH', 'G', 'EH', 'N', 'S', 'T']","['T', 'R', 'EY', 'S', 'IY', 'Z']","['K', 'IY', 'SH']","['S', 'W', 'UW', 'SH']","['W', 'EH', 'L', 'W', 'EH', 'L']","['HH', 'IH', 'Z']","['M', 'AO', 'L', 'T']","['SH', 'IY', 'L']","['W', 'EH', 'R', 'S']","['S', 'ER', 'F', 'AH', 'S']","['JH', 'AH', 'S', 'T', 'AH', 'N', 'S']","['B', 'L', 'EY', 'D', 'Z']","['L', 'AY', 'ER']","['K', 'IH', 'L']","['D', 'R', 'AE', 'G']","['S', 'EH', 'P']","['HH', 'EH', 'R', 'IY']","['B', 'AH', 'M', 'B', 'AH', 'L']","['R', 'AA', 'N']","['HH', 'EH', 'L', 'P', 'ER']","['P', 'OW', 'K', 'S']","['L', 'IH', 'D', 'Z']","['T', 'AA', 'T', 'AA']","['S', 'T', 'IH', 'K', 'AH', 'L']","['P', 'AE', 'K', 'IH', 'NG']","['CH', 'IH', 'K', 'AH', 'N', 'Z']","['S', 'T', 'IY', 'M']","['JH', 'AA', 'N', 'S']","['CH', 'IH', 'L', 'IY']","['R', 'OW', 'ER']","['P', 'IH', 'G', 'IY']","['W', 'AO', 'L', 'R', 'AH', 'S']","['L', 'AY', 'AH', 'N', 'S']","['T', 'EY', 'L', 'S']","['T', 'IH', 'K', 'IH', 'NG']","['B', 'AE', 'T', 'AH', 'L']","['L', 'UH', 'K']","['D', 'AH', 'B', 'AH', 'L']","['W', 'AO', 'R']","['S', 'OW', 'F', 'AH']","['JH', 'UW', 'L', 'IY']",,,,,,,,,,,,
"['W', 'AH', 'N', 'AH', 'L']","['P', 'AH', 'P', 'AH', 'T']","['R', 'IY', 'D', 'ER']","['S', 'IH', 'D']","['D', 'IY', 'L', 'IH', 'NG']","['T', 'AE', 'L', 'K']","['S', 'W', 'AA', 'N', 'S', 'IY']","['K', 'ER', 'AH', 'N', 'T', 'S']","['D', 'EH', 'TH']","['B', 'AE', 'N', 'D', 'AH', 'T', 'S']","['IY', 'T', 'IY', 'T']","['B', 'IY', 'P']","['P', 'EH', 'N', 'Z']","['SH', 'OW']","['P', 'AA', 'R', 'T', 'IY', 'Z']","['S', 'N', 'OW', 'IH', 'NG']","['D', 'EY', 'M', 'AH', 'N']","['JH', 'EY', 'M', 'IY', 'Z']","['P', 'AH', 'Z', 'AH', 'L']","['M', 'EH', 'T']","['M', 'AH', 'K']","['B', 'AO', 'B', 'AH', 'L']","['AE', 'NG', 'K', 'ER', 'Z']","['T', 'IY', 'CH']","['R', 'AA', 'B', 'ER']","['K', 'AE', 'N', 'Z']","['S', 'T', 'AA', 'R']","['B', 'EH', 'N', 'S']","['K', 'UW', 'P']","['B', 'ER', 'G', 'ER', 'Z']","['D', 'IH', 'G', 'R', 'IY']","['B', 'AH', 'B', 'AH', 'L']","['S', 'K', 'EH', 'R', 'IY']","['B', 'IH', 'K']","['M', 'UW', 'IH', 'NG']","['B', 'R', 'EY', 'N', 'Z']","['B', 'UW', 'B', 'UW']","['M', 'IH', 'N', 'IY']","['M', 'AH', 'G', 'IH', 'NG']","['D', 'AO', 'N']","['P', 'AA']","['P', 'L', 'EY', 'B', 'AH', 'S']","['F', 'L', 'AH', 'SH', 'IH', 'NG']","['S', 'W', 'IY', 'P']","['HH', 'UH', 'V', 'Z']","['AH', 'N', 'HH', 'AE', 'P', 'IY']","['HH', 'AO', 'R', 'N', 'D']","['N', 'IH', 'P', 'T']","['N', 'AH', 'T', 'S']","['R', 'AE', 'F', 'AH', 'L']","['JH', 'AE', 'M', 'S']","['K', 'L', 'OW', 'DH', 'Z']","['F', 'IH', 'SH', 'AH', 'L']",,,,,
"['T', 'AA', 'K']","['R', 'EY', 'S', 'IH', 'NG']","['R', 'AH', 'G']","['HH', 'AY', 'D', 'IY']","['L', 'EH', 'G', 'OW', 'Z']","['R', 'EH', 'P', 'T', 'AY', 'L']","['S', 'K', 'ER', 'T', 'IH', 'NG']","['AE', 'K', 'T', 'IH', 'NG']","['K', 'UH', 'K', 'ER']","['T', 'AE', 'NG', 'G', 'AH', 'L', 'Z']","['K', 'AH', 'L', 'EH', 'K', 'T', 'S']","['HH', 'EH', 'L', 'P', 'IH', 'NG']","['F', 'AY', 'ER', 'Z']","['L', 'AH', 'V', 'IH', 'NG']","['S', 'IH', 'V', 'AH', 'L']","['F', 'AO', 'B']","['R', 'OW', 'S', 'T', 'IH', 'NG']","['M', 'EH', 'T', 'AH', 'L']","['SH', 'AE', 'D', 'OW']","['K', 'AA', 'Z', 'D']","['S', 'T', 'AA', 'R', 'Z']","['B', 'EY', 'DH', 'IH', 'NG']","['F', 'AO', 'L', 'Z']","['CH', 'AA', 'P', 'IH', 'NG']","['P', 'EH', 'D', 'AH', 'L', 'IH', 'NG']","['R', 'UW', 'S', 'T']","['SH', 'IH', 'R', 'IH', 'NG']","['M', 'OW', 'L', 'D', 'IY']","['HH', 'AY', 'D']","['S', 'T', 'AO', 'R', 'D']","['R', 'AH', 'T', 'ER', 'N']","['L', 'UW', 'S']","['M', 'IH', 'S', 'T', 'ER', 'IY']","['D', 'AA', 'NG', 'K', 'IY', 'Z']","['S', 'IH', 'Z', 'ER']","['D', 'OW', 'N', 'AH', 'T']","['AW', 'T', 'AH', 'D']","['P', 'AY', 'L', 'D']","['AH', 'P', 'AH', 'P']","['S', 'P', 'AE', 'NG', 'K']","['B', 'AH', 'N', 'S']","['D', 'ER', 'T']","['HH', 'AH', 'B', 'ER', 'D']","['B', 'L', 'AA', 'B']","['D', 'AA', 'T']","['F', 'L', 'AE', 'T', 'AH', 'N', 'S']","['P', 'EH', 'R', 'Z']","['B', 'AE', 'S', 'K', 'AH', 'T']","['D', 'IH', 'S', 'AH', 'B', 'EY']","['P', 'AE', 'N', 'IH', 'K', 'IY']","['P', 'L', 'EY', 'N', 'Z']","['G', 'L', 'AE', 'S', 'AH', 'Z']",['ER'],"['S', 'AY', 'D']","['D', 'R', 'EH', 'N', 'CH', 'T']","['K', 'AH', 'T']",,
"['L', 'AE', 'F', 'IH', 'NG']","['P', 'IY']","['N', 'OY', 'Z', 'AH', 'Z']","['S', 'T', 'OW', 'N', 'Z']","['D', 'EH', 'M', 'IY']","['M', 'AH', 'SH']","['D', 'AH', 'M', 'P', 'L', 'IH', 'NG']","['JH', 'AH', 'G', 'AH', 'L', 'D']","['F', 'AO', 'R', 'T', 'IY', 'Z']","['T', 'IH', 'N', 'S', 'AH', 'L']","['N', 'AA']","['T', 'AH', 'B', 'IY']","['G', 'AA', 'R', 'D', 'AH', 'N']","['B', 'AH', 'F', 'ER']","['B', 'R', 'EY', 'K', 'ER']","['AE', 'Z', 'W', 'EH', 'L']","['D', 'AA', 'L', 'IY', 'Z']","['S', 'T', 'IH', 'K', 'IH', 'NG']","['IY', 'Z']","['W', 'EH', 'R', 'Z']","['B', 'AA', 'R', 'D']","['G', 'EH', 'S', 'T', 'S']","['S', 'P', 'AE', 'NG', 'K', 'T']","['P', 'IH', 'P', 'S']","['HH', 'AE', 'CH']","['P', 'UH', 'R', 'L', 'IY']","['G', 'R', 'EY', 'V', 'IY']","['S', 'IH', 'T', 'ER']","['M', 'AO', 'S']","['T', 'UH', 'K']","['D', 'R', 'AA', 'P', 'S']","['T', 'AH', 'K', 'T']","['V', 'IH', 'Z', 'AH', 'T', 'IH', 'NG']","['AE', 'NG', 'K', 'ER']","['S', 'AE', 'N', 'D', 'IH', 'NG']","['K', 'AO', 'R', 'AH', 'D', 'ER']","['HH', 'AH', 'G', 'IY']","['S', 'T', 'AE', 'N', 'D']","['B', 'R', 'UW']","['B', 'AE', 'T', 'ER', 'N']","['S', 'IH', 'V', 'AH', 'L']","['TH', 'R', 'UW']","['B', 'UH', 'K', 'S']","['G', 'IH', 'V', 'IH', 'NG']","['N', 'AA', 'D', 'IY', 'Z']",,,,,,,,,,,,,
"['D', 'AH', 'Z', 'AY', 'N']","['S', 'L', 'AY', 'D', 'S']","['S', 'T', 'EH', 'P', 'S']","['JH', 'AH', 'G', 'AH', 'L', 'ER']","['L', 'EH', 'T', 'IH', 'NG']","['M', 'AH', 'T', 'ER', 'IH', 'NG']","['F', 'IH', 'Z']","['P', 'OW', 'K', 'ER', 'Z']","['AE', 'N', 'S']","['CH', 'EH', 'R', 'AH', 'L']","['S', 'K', 'AA', 'R']","['B', 'L', 'EY', 'M']","['P', 'AE', 'N', 'IH', 'K']","['P', 'IY', 'K', 'P', 'IY', 'K']","['B', 'IY', 'T', 'IH', 'NG']","['P', 'AA']","['W', 'AO', 'T', 'ER', 'IH', 'NG']","['S', 'AE', 'M', 'IY']","['P', 'AY', 'D', 'IH', 'SH', 'AH', 'Z']","['P', 'IH', 'L', 'ER', 'Z']","['DH', 'AE', 'T', 'S']","['N', 'OW', 'IH', 'NG']","['L', 'AY', 'K', 'S']","['T', 'R', 'AE', 'M', 'P']","['S', 'AW', 'ER']","['S', 'AA', 'L']","['N', 'ER', 'V', 'Z']","['P', 'L', 'AE', 'NG', 'K']","['B', 'OW', 'L']","['S', 'T', 'AO', 'R', 'K']","['N', 'IY', 'T']","['K', 'IH', 'NG', 'K', 'IH', 'NG']","['N', 'AH', 'TH', 'IH', 'NG', 'AH', 'L']","['HH', 'AH', 'R', 'EY']","['W', 'IH', 'Z', 'ER']","['D', 'AH', 'T', 'AE', 'CH', 'T']","['W', 'IH', 'L', 'OW']","['S', 'W', 'IH', 'SH']","['F', 'AE', 'N']","['DH', 'OW', 'Z']","['M', 'IH', 'N', 'S', 'T']","['HH', 'AA', 'R', 'M', 'IH', 'NG']","['W', 'IH', 'S', 'K', 'IY']","['IH', 'N', 'S', 'AY', 'D']","['S', 'IH', 'K', 'S', 'AH', 'Z']","['K', 'IY', 'L']","['P', 'R', 'AH', 'F', 'ER']","['R', 'EH', 'S', 'AH', 'P', 'IY']","['HH', 'AE', 'M', 'ER', 'D']","['D', 'AH', 'T', 'EY', 'L', 'Z']","['G', 'R', 'AA', 'M', 'IH', 'T']",,,,,,,
